Zip,City,State,Latitude,Longitude,Latitude Radians,Longitude Radians,Timezone,Daylight savings time flag,geopoint
99212,Spokane,WA,47.668926,-117.30668,0.83197971,-2.047387801,-8,1,"47.668926, -117.30668"
99217,Spokane,WA,47.707542,-117.33776,0.832653686,-2.047930249,-8,1,"47.707542, -117.33776"
99223,Spokane,WA,47.614744,-117.35892,0.831034055,-2.048299561,-8,1,"47.614744, -117.35892"
99202,Spokane,WA,47.656692,-117.37899,0.831766186,-2.048649848,-8,1,"47.656692, -117.37899"
99207,Spokane,WA,47.693741,-117.38829,0.832412813,-2.048812164,-8,1,"47.693741, -117.38829"
99203,Spokane,WA,47.629091,-117.40636,0.831284458,-2.049127545,-8,1,"47.629091, -117.40636"
99218,Spokane,WA,47.751674,-117.4124,0.833423935,-2.049232963,-8,1,"47.751674, -117.4124"
99204,Spokane,WA,47.648941,-117.43174,0.831630906,-2.049570509,-8,1,"47.648941, -117.43174"
99211,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99260,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99256,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99299,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99210,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99220,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99251,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99215,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99219,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99252,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99214,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99258,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99228,Spokane,WA,47.653568,-117.431742,0.831711662,-2.049570544,-8,1,"47.653568, -117.431742"
99201,Spokane,WA,47.663945,-117.43185,0.831892775,-2.049572429,-8,1,"47.663945, -117.43185"
99205,Spokane,WA,47.69399,-117.43979,0.832417159,-2.049711008,-8,1,"47.69399, -117.43979"
99208,Spokane,WA,47.740491,-117.43916,0.833228754,-2.049700013,-8,1,"47.740491, -117.43916"
99224,Spokane,WA,47.632573,-117.49326,0.83134523,-2.050644236,-8,1,"47.632573, -117.49326"
99209,Spokane,WA,47.646148,-117.793734,0.831582158,-2.055888497,-8,1,"47.646148, -117.793734"
99032,Sprague,WA,47.273264,-117.99082,0.825074105,-2.059328296,-8,1,"47.273264, -117.99082"
99173,Springdale,WA,48.030848,-117.79563,0.83829644,-2.055921588,-8,1,"48.030848, -117.79563"
98292,Stanwood,WA,48.222046,-122.38961,0.841633475,-2.136101665,-8,1,"48.222046, -122.38961"
99359,Starbuck,WA,46.523206,-118.19393,0.811983123,-2.062873234,-8,1,"46.523206, -118.19393"
98293,Startup,WA,47.870275,-121.76849,0.835493913,-2.125261076,-8,1,"47.870275, -121.76849"
98852,Stehekin,WA,48.494944,-120.73348,0.846396443,-2.107196743,-8,1,"48.494944, -120.73348"
98388,Steilacoom,WA,47.164965,-122.6005,0.823183931,-2.13978239,-8,1,"47.164965, -122.6005"
99174,Steptoe,WA,46.838747,-117.644337,0.817490353,-2.053281027,-8,1,"46.838747, -117.644337"
98648,Stevenson,WA,45.669604,-121.91332,0.797084958,-2.127788836,-8,1,"45.669604, -121.91332"
98853,Stratford,WA,47.417461,-119.28312,0.827590817,-2.081883186,-8,1,"47.417461, -119.28312"
98294,Sultan,WA,47.86527,-121.78899,0.835406559,-2.125618868,-8,1,"47.86527, -121.78899"
98295,Sumas,WA,48.971298,-122.20146,0.854710389,-2.132817828,-8,1,"48.971298, -122.20146"
98352,Sumner,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98390,Sumner,WA,47.196364,-122.1887,0.823731947,-2.132595124,-8,1,"47.196364, -122.1887"
98944,Sunnyside,WA,46.342102,-119.99,0.808822262,-2.094220569,-8,1,"46.342102, -119.99"
98392,Suquamish,WA,47.735065,-122.55751,0.833134053,-2.139032073,-8,1,"47.735065, -122.55751"
98431,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98471,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98415,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98447,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98434,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98413,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98460,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98412,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98494,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98477,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98418,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98464,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98411,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98493,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98455,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98450,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98481,Tacoma,WA,47.066193,-122.113223,0.821460034,-2.131277802,-8,1,"47.066193, -122.113223"
98424,Tacoma,WA,47.242186,-122.35916,0.824531692,-2.135570212,-8,1,"47.242186, -122.35916"
98443,Tacoma,WA,47.202874,-122.37678,0.823845568,-2.135877739,-8,1,"47.202874, -122.37678"
98446,Tacoma,WA,47.1309,-122.37589,0.822589384,-2.135862206,-8,1,"47.1309, -122.37589"
98422,Tacoma,WA,47.296007,-122.39835,0.825471045,-2.136254207,-8,1,"47.296007, -122.39835"
98421,Tacoma,WA,47.250681,-122.41213,0.824679957,-2.136494713,-8,1,"47.250681, -122.41213"
98442,Tacoma,WA,47.308061,-122.418495,0.825681427,-2.136605803,-8,1,"47.308061, -122.418495"
98404,Tacoma,WA,47.212421,-122.4156,0.824012194,-2.136555276,-8,1,"47.212421, -122.4156"
98445,Tacoma,WA,47.148269,-122.41196,0.822892531,-2.136491746,-8,1,"47.148269, -122.41196"
98402,Tacoma,WA,47.247671,-122.43971,0.824627423,-2.136976075,-8,1,"47.247671, -122.43971"
98401,Tacoma,WA,47.253671,-122.444335,0.824732143,-2.137056796,-8,1,"47.253671, -122.444335"
98408,Tacoma,WA,47.209021,-122.44498,0.823952853,-2.137068054,-8,1,"47.209021, -122.44498"
98444,Tacoma,WA,47.153571,-122.4485,0.822985068,-2.137129489,-8,1,"47.153571, -122.4485"
98403,Tacoma,WA,47.263971,-122.45879,0.824911912,-2.137309084,-8,1,"47.263971, -122.45879"
98405,Tacoma,WA,47.248953,-122.46599,0.824649798,-2.137434747,-8,1,"47.248953, -122.46599"
