Date,Consumption,Crude Oil Imports,Crude Oil Exports(1000 Barrels),Crude Oil Production (1000 Barrels),US Population,Consumption Change,Consumption Change (Y/N)
Aug-08,6841.0,10324.0,1234,155092,305045.0,-133.0,0
Sep-08,6105.0,8447.0,1173,119208,305309.0,-736.0,0
Oct-08,6564.0,10086.0,1321,146868,305554.0,459.0,1
Nov-08,6589.0,9944.0,916,152343,305786.0,25.0,1
Dec-08,7406.0,9419.0,1413,158183,306004.0,817.0,1
Jan-09,7722.0,9779.0,1122,159467,306208.0,316.0,1
Feb-09,6650.0,9074.0,833,146698,306402.0,-1072.0,0
Mar-09,6715.0,9378.0,943,161776,306588.0,65.0,1
Apr-09,6052.0,9374.0,799,158344,306787.0,-663.0,0
May-09,5890.0,8797.0,1634,166684,306984.0,-162.0,0
Jun-09,6103.0,9135.0,1698,158079,307206.0,213.0,1
Jul-09,6385.0,9094.0,971,167336,307439.0,282.0,1
Aug-09,6566.0,8814.0,1091,167945,307685.0,181.0,1
Sep-09,5996.0,9254.0,1265,166765,307946.0,-570.0,0
Oct-09,6216.0,8566.0,2241,171258,308189.0,220.0,1
Nov-09,6174.0,8740.0,1365,161838,308418.0,-42.0,0
Dec-09,7394.0,8170.0,2022,169004,308633.0,1220.0,1
Jan-10,7675.0,8492.0,1008,167529,308833.0,281.0,1
Feb-10,6890.0,8761.0,1621,155496,309027.0,-785.0,0
Mar-10,6816.0,9341.0,1395,170976,309212.0,-74.0,0
Apr-10,6078.0,9726.0,1095,161769,309191.0,-738.0,0
May-10,6234.0,9655.0,1121,167427,309369.0,156.0,1
Jun-10,6505.0,9927.0,937,161385,309549.0,271.0,1
Jul-10,6887.0,9932.0,2140,164234,309746.0,382.0,1
Aug-10,7000.0,9543.0,1113,168867,309958.0,113.0,1
Sep-10,6318.0,9229.0,1838,168473,310176.0,-682.0,0
Oct-10,6174.0,8540.0,728,174547,310400.0,-144.0,0
Nov-10,6439.0,8699.0,953,167272,310596.0,265.0,1
Dec-10,7708.0,8695.0,1249,173831,310782.0,1269.0,1
Jan-11,7776.0,9183.0,2228,170333,310961.0,68.0,1
Feb-11,6700.0,8184.0,847,151299,311113.0,-1076.0,0
Mar-11,6813.0,9183.0,1126,174079,311265.0,113.0,1
Apr-11,6093.0,8839.0,1227,166731,311436.0,-720.0,0
May-11,6121.0,9059.0,1148,174310,311607.0,28.0,1
Jun-11,6349.0,9235.0,1066,167639,311791.0,228.0,1
Jul-11,6802.0,9276.0,2263,168648,311997.0,453.0,1
Aug-11,6878.0,8936.0,1047,175602,312205.0,76.0,1
Sep-11,6159.0,8914.0,1065,168433,312429.0,-719.0,0
Oct-11,6182.0,8907.0,1568,182933,312644.0,23.0,1
Nov-11,6356.0,8724.0,1928,181057,312830.0,174.0,1
Dec-11,7035.0,8711.0,1646,187474,313010.0,679.0,1
Jan-12,7144.0,8527.0,2425,191313,313183.0,109.0,1
Feb-12,6592.0,8562.0,2127,181731,313339.0,-552.0,0
Mar-12,6216.0,8771.0,2196,196110,313499.0,-376.0,0
Apr-12,5840.0,8636.0,1228,189726,313667.0,-376.0,0
May-12,6124.0,8991.0,2571,197413,313831.0,284.0,1
Jun-12,6247.0,9193.0,1381,188082,314018.0,123.0,1
Jul-12,6790.0,8712.0,2388,199157,314211.0,543.0,1
Aug-12,6747.0,8665.0,1866,196822,314422.0,-43.0,0
Sep-12,6019.0,8381.0,2038,197874,314647.0,-728.0,0
Oct-12,6236.0,8108.0,2079,215946,314854.0,217.0,1
Nov-12,6462.0,8183.0,2201,212300,315054.0,226.0,1
Dec-12,6887.0,7604.0,2191,220061,315233.0,425.0,1
Jan-13,7414.0,7956.0,3384,219565,315390.0,527.0,1
Feb-13,6636.0,7293.0,3705,200235,315520.0,-778.0,0
Mar-13,6918.0,7497.0,3310,223382,315662.0,282.0,1
Apr-13,6076.0,7760.0,4151,221149,315818.0,-842.0,0
May-13,6061.0,7741.0,4034,227094,315984.0,-15.0,0
Jun-13,6163.0,7731.0,3723,218295,316171.0,102.0,1
Jul-13,6680.0,8058.0,3217,233254,316359.0,517.0,1
Aug-13,6639.0,8099.0,2192,233493,316580.0,-41.0,0
Sep-13,6209.0,7923.0,3162,235117,316806.0,-430.0,0
Oct-13,6275.0,7478.0,3679,240487,317022.0,66.0,1
Nov-13,6656.0,7408.0,7578,237505,317228.0,381.0,1
Dec-13,7497.0,7772.0,6834,245777,317412.0,841.0,1
Jan-14,7982.0,7589.0,7698,250255,317594.0,485.0,1
Feb-14,7045.0,7199.0,6907,228260,317754.0,-937.0,0
Mar-14,6990.0,7274.0,7794,257076,317917.0,-55.0,0
Apr-14,6078.0,7555.0,8448,255638,318089.0,-912.0,0
May-14,6100.0,7167.0,9567,267954,318270.0,22.0,1
Jun-14,6178.0,7068.0,11833,262387,318464.0,78.0,1
Jul-14,6619.0,7630.0,13045,274223,318662.0,441.0,1
Aug-14,6663.0,7473.0,12136,276506,318894.0,44.0,1
Sep-14,6190.0,7495.0,10479,272451,319125.0,-473.0,0
Oct-14,6311.0,7148.0,11653,287164,319354.0,121.0,1
Nov-14,6679.0,7295.0,15619,279662,319564.0,368.0,1
Dec-14,7181.0,7225.0,13053,296552,319746.0,502.0,1
Jan-15,7683.0,7171.0,15342,291042,319929.0,502.0,1
Feb-15,7159.0,7100.0,12380,266272,320075.0,-524.0,0
Mar-15,6899.0,7592.0,13565,297150,320231.0,-260.0,0
Apr-15,5984.0,7208.0,17969,289842,320402.0,-915.0,0
May-15,6101.0,7245.0,16338,293918,320584.0,117.0,1
Jun-15,6360.0,7321.0,13355,280849,320774.0,259.0,1
Jul-15,6835.0,7360.0,16934,292862,320978.0,475.0,1
Aug-15,6730.0,7717.0,14286,291887,321202.0,-105.0,0
Sep-15,6215.0,7228.0,12314,284723,321428.0,-515.0,0
Oct-15,6185.0,7102.0,15503,291593,321653.0,-30.0,0
Nov-15,6198.0,7371.0,9592,280110,321856.0,13.0,1
Dec-15,6742.0,7902.0,12162,287722,322043.0,544.0,1
Jan-16,7415.0,7615.0,15176,285279,322233.0,673.0,1
Feb-16,6664.0,7914.0,13161,262892,322398.0,-751.0,0
Mar-16,6337.0,8012.0,18471,281744,322551.0,-327.0,0
Apr-16,5886.0,7611.0,18714,266126,322721.0,-451.0,0
May-16,5959.0,7927.0,24414,273848,322900.0,73.0,1
Jun-16,6348.0,7560.0,15915,260129,323088.0,389.0,1
Jul-16,6825.0,8096.0,16612,268586,323291.0,477.0,1
Aug-16,6932.0,8016.0,22331,269252,323501.0,107.0,1
Sep-16,6252.0,8040.0,23241,256326,323710.0,-680.0,0
Oct-16,6161.0,7570.0,15552,274071,323920.0,-91.0,0
Nov-16,6171.0,8023.0,18170,267181,324107.0,10.0,1
Dec-16,7370.0,7817.0,14518,274222,324275.0,1199.0,1
Jan-17,7279.0,8478.0,22046,275081,324438.0,-91.0,0
Feb-17,6077.0,7877.0,32092,255027,324581.0,-1202.0,0
Mar-17,6714.0,8165.0,28831,284965,324714.0,637.0,1
Apr-17,5846.0,8204.0,33835,273444,324862.0,-868.0,0
May-17,6099.0,8487.0,34049,285439,325019.0,253.0,1
Jun-17,6246.0,8089.0,25953,274035,325186.0,147.0,1
Jul-17,6734.0,7915.0,29642,287239,325368.0,488.0,1
Aug-17,6646.0,7923.0,25338,287182,325568.0,-88.0,0
Sep-17,6050.0,7324.0,43899,286008,325766.0,-596.0,0
Oct-17,6213.0,7681.0,53327,299709,325966.0,163.0,1
Nov-17,6510.0,7674.0,46323,302637,326143.0,297.0,1
Dec-17,7493.0,7782.0,47184,309779,326301.0,983.0,1
Jan-18,7905.0,8018.0,42221,309948,326454.0,412.0,1
Feb-18,6471.0,7498.0,48589,287302,326601.0,-1434.0,0
Mar-18,6985.0,7620.0,61050,325146,326737.0,514.0,1
Apr-18,6247.0,8254.0,57581,314891,326888.0,-738.0,0
May-18,6215.0,7834.0,64080,324159,327049.0,-32.0,0
Jun-18,6375.0,8487.0,68366,318147,327219.0,160.0,1
Jul-18,6897.0,7936.0,71509,338007,327404.0,522.0,1
Aug-18,6969.0,7989.0,57619,352889,327600.0,72.0,1
Sep-18,6317.0,7593.0,60453,343901,327795.0,-652.0,0
Oct-18,6557.0,7354.0,69951,358173,327991.0,240.0,1
Nov-18,6937.0,7542.0,72013,357213,328164.0,380.0,1
Dec-18,7330.0,7097.0,74109,372116,328319.0,393.0,1
Jan-19,7807.0,7558.0,81931,367815,328468.0,477.0,1
Feb-19,6808.0,6670.0,81617,327007,328611.0,-999.0,0
Mar-19,6997.0,6783.0,82864,370056,328743.0,189.0,1
Apr-19,5997.0,6999.0,87321,364041,328890.0,-1000.0,0
May-19,6160.0,7154.0,91722,377059,329047.0,163.0,1
Jun-19,6182.0,7152.0,92995,362626,329214.0,22.0,1
Jul-19,6824.0,6938.0,83883,366392,329395.0,642.0,1
Aug-19,6863.0,6944.0,85406,385168,329591.0,39.0,1
Sep-19,6275.0,6483.0,92780,374856,329786.0,-588.0,0
Oct-19,6370.0,6242.0,105770,392849,329982.0,95.0,1
Nov-19,6778.0,5818.0,92408,385793,330155.0,408.0,1
Dec-19,7197.0,6833.0,109648,396865,330310.0,419.0,1
