API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
INTL.4418-1-KHM-QBTU.A,        Cambodia,0.000509012,0.000554009,0.00057497,0.0004208,0.0003132,0.000365645,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000496125,0.000420672,0.000589941,0.000644735,0.00064246,0.000610948,0.000569008,0.000539507,0.000721899,0.005093915,0.009734682,0.017624883,0.018836495,0.024356786,0.025458283
INTL.4418-1-CMR-QBTU.A,        Cameroon,0.0140238,0.01871087,0.021200712,0.02107156,0.02198664,0.023975865,0.023994462,0.023974119,0.025696436,0.027144064,0.027138818,0.027571912,0.027137408,0.027071434,0.027450876,0.0281002,0.02935526,0.031261993,0.031457745,0.033756026,0.034765008,0.035535187,0.03204495,0.035366625,0.038872096,0.037336266,0.044595824,0.03839934,0.042047018,0.03949872,0.041726412,0.042915572,0.03359148,0.039261215,0.04369845,0.040332632,0.04228256,0.042131049
INTL.4418-1-CAN-QBTU.A,        Canada,2.620196404,2.76941782,2.688946518,2.79141888,2.98159092,3.159110118,3.232274442,3.286027572,3.157347624,3.035232128,3.098318916,3.227823492,3.286356656,3.353249666,3.42795522,3.488735216,3.70222666,3.61734247,3.426212394,3.587538476,3.712480475,3.507793603,3.632466514,3.488293105,3.483212136,3.695363177,3.583919424,3.732145802,3.813177122,3.756389272,3.64689281,3.882248586,3.862316962,4.048130032,4.025272925,3.968337842,4.021242441,3.945587019
INTL.4418-1-CYM-QBTU.A,        Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000036928,0.000128982
INTL.4418-1-CAF-QBTU.A,        Central African Republic,0.000685608,0.000679445,0.000710872,0.00067328,0.00072036,0.00062682,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001241984,0.001329867,0.001378741,0.001344224,0.001340144,0.0013176,0.00130828,0.001421451,0.00142169,0.001310933,0.001601484,0.00156932,0.001563901,0.001385635
INTL.4418-1-TCD-QBTU.A,        Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54E-07,9.51E-07,2.7957E-06,8.58576E-05,8.56809E-05
INTL.4418-1-CHL-QBTU.A,        Chile,0.077317884,0.080414929,0.089789406,0.09605812,0.09942012,0.110142721,0.120881112,0.127976577,0.12042946,0.102358784,0.13330163,0.14641708,0.189372362,0.193520548,0.191815704,0.22165644,0.21008812,0.209335861,0.172910529,0.147775926,0.209059294,0.236295044,0.244080789,0.235618875,0.238350752,0.280121985,0.300307644,0.253069936,0.266767488,0.28690496,0.23629032,0.252110768,0.24018384,0.248066,0.28588962,0.301637392,0.312050832,0.316687662
INTL.4418-1-CHN-QBTU.A,        China,0.598535784,0.677824785,0.769999824,0.89983872,0.89713008,0.955649772,0.97727553,1.033543962,1.115084916,1.222797312,1.30170628,1.29260296,1.346549084,1.538298671,1.70977384,1.93731544,1.9291855,1.996100211,2.090435985,2.185459816,2.277332446,2.871220377,2.940772076,2.89743293,3.566256293,4.008307209,4.389157163,4.880184923,6.064907481,6.493644458,7.719696297,7.782331015,9.587899876,10.66038657,12.30960275,13.11303473,14.30064999,15.17865704
INTL.4418-1-COL-QBTU.A,        Colombia,0.150968804,0.152080697,0.19151728,0.19254756,0.21410352,0.227796835,0.265443306,0.224852439,0.25624168,0.280641664,0.286283844,0.286770844,0.233284494,0.289816917,0.334403456,0.33323228,0.36843488,0.325304476,0.316168182,0.346262586,0.329033255,0.330470006,0.347153625,0.36767925,0.402663232,0.400250284,0.431656162,0.446830003,0.468942343,0.409645595,0.425500318,0.504312203,0.486362171,0.50510689,0.484945559,0.492075279,0.4925342,0.536279517
INTL.4418-1-COM-QBTU.A,        Comoros,0.000020776,0.000020906,0.000020908,0.00002104,0.00002088,0.000020894,0.000020892,0.000020838,0.000020648,0.000020864,0.000020804,0.000020872,0.000020684,0.000020618,0.000020632,0.000020624,0.00002068,0.000020426,0.000020394,0.000020452,0.000020402,0.000020666,0.000030519,0.0000405,0.00005008,0.000049995,0.000049595,0.00004942,0.00004927,0.0000488,0.00004878,0.00004858,0.000028548,0.000019082,0.00001902,0.000018638,0.000018464,3.6852E-06
INTL.4418-1-COG-QBTU.A,        Congo-Brazzaville,0.001028412,0.001066206,0.001818996,0.00240908,0.00258912,0.003008736,0.00276819,0.002865225,0.002952664,0.004099776,0.00504497,0.004946664,0.004353982,0.003659695,0.003290804,0.003588576,0.00466334,0.004554998,0.003456783,0.0025565,0.002978692,0.003420223,0.003987816,0.003432375,0.003275232,0.003509649,0.003780242,0.003281488,0.003655834,0.00319152,0.004156056,0.0076086,0.009298084,0.009171763,0.008961273,0.010139072,0.010312144,0.010981896
