API,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
INTL.4701-34-CIV-BDOLPPP.A,        Côte d’Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,57.5891,59.288,58.6417,58.6652,58.5185,58.4132,58.5131,61.7734,66.7993,70.6222,74.1046,75.3036,73.7464,73.8356,72.604,71.6166,72.4989,73.7466,74.8646,76.186,78.1234,80.6632,82.291,78.2941,86.8,94.8481,103.189,112.314,120.377,129.237,138.016,147.539
INTL.4701-34-DNK-BDOLPPP.A,        Denmark,146.4137,145.1069,149.4827,153.2457,159.9754,166.8289,172.9166,173.4168,179.1259,179.4023,180.1458,182.497,186.0684,186.0885,196.0115,201.946,207.8025,214.5789,219.3385,225.8045,234.2654,236.1935,237.2951,238.2206,244.577,250.2918,260.0857,262.4504,261.1069,248.2954,252.9409,256.3222,256.9027,259.3005,263.4997,269.6726,278.4258,284.095,290.8887,297.7109
INTL.4701-34-DJI-BDOLPPP.A,        Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74283,2.62059,2.63532,2.45741,2.42398,2.33961,2.25229,2.22491,2.22744,2.29246,2.30882,2.35022,2.42623,2.50353,2.5731,2.65315,2.78117,2.92068,3.09025,3.1402,3.27043,3.50894,3.67884,3.86282,4.13559,4.453,4.76108,5.00279,5.27795,5.57728
INTL.4701-34-DMA-BDOLPPP.A,        Dominica,NA,NA,NA,NA,NA,NA,NA,NA,0.492493,0.490363,0.516363,0.525629,0.540001,0.5386,0.546309,0.557097,0.576662,0.591047,0.609727,0.613634,0.61754,0.619633,0.607008,0.653533,0.670762,0.668594,0.699142,0.740798,0.79871,0.789701,0.767864,0.76923,0.760442,0.762916,0.796309,0.776,0.795594,0.738173,0.75489,0.807388
INTL.4701-34-DOM-BDOLPPP.A,        Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,40.4688,42.2497,39.9452,40.3227,44.5619,47.7804,48.8809,51.5662,55.2436,59.6655,63.8484,68.136,71.9902,73.2927,77.535,77.3385,78.3532,85.6109,94.7466,102.776,106.065,107.067,115.983,119.631,122.894,128.881,137.977,147.535,157.35,164.699,176.209,185.1
INTL.4701-34-ECU-BDOLPPP.A,        Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,78.6851,78.9212,81.2888,85.5095,86.8045,87.0625,91.1578,92.7516,94.9795,98.8271,100.918,94.5606,99.5697,103.568,107.811,110.747,119.84,126.181,131.738,134.623,143.181,143.992,149.068,160.797,169.869,178.272,185.026,185.209,182.938,187.27,189.685,189.787
INTL.4701-34-EGY-BDOLPPP.A,        Egypt,NA,NA,NA,NA,NA,NA,NA,NA,343.746,360.83,381.398,385.512,402.598,414.277,430.737,450.733,473.219,499.204,519.354,551.063,580.644,601.171,615.422,635.068,661.042,690.65,737.986,786.939,843.245,882.911,928.729,944.562,968.934,1000.46,1029.68,1074.15,1120.04,1166.22,1228.18,1296.38
INTL.4701-34-SLV-BDOLPPP.A,        El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,20.8286,21.008,25.4867,25.8686,27.6848,29.2952,30.6697,32.1213,32.3835,33.3992,34.2848,35.0267,35.4213,35.7318,36.2955,36.8637,37.1915,38.199,39.8577,40.5996,41.4634,40.5984,41.4531,43.0346,44.2458,45.235,46.0091,47.111,48.3107,49.3977,50.5985,51.8039
INTL.4701-34-GNQ-BDOLPPP.A,        Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,0.469245,0.463477,0.455326,0.450672,0.607259,0.674259,0.786651,0.924207,1.53954,3.84844,4.76339,5.98587,7.07612,11.561,13.811,15.7384,21.7188,25.3564,27.3101,31.4837,37.0875,37.5857,34.2315,36.4647,39.496,37.8635,38.0207,34.557,31.5103,30.0338,28.1931,26.5241
INTL.4701-34-ERI-BDOLPPP.A,        Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.68803,3.77384,4.11854,4.44398,4.53123,4.53969,3.97893,4.32722,4.45729,4.33892,4.40188,4.51522,4.47151,4.53537,3.65384,4.09893,4.54365,5.71176,5.81952,5.21109,6.82303,5.416,5.81629,5.25679,5.89742,6.11899
