"","WTI","BRENT","ARAB_LIGHT","RIGS","FUEL_CONS","USA_OIL"
"97",17.21,15.59,14.64,380,93.640008224,7.928278
"98",15.44,13.53,14.04,380,93.780290746,7.916832
"99",15.75,13.87,12.84,327,92.110494653,7.757639
"100",15.56,13.79,13.33,291,92.183924765,7.837239
"101",15.21,14.03,12.58,272,91.908948062,7.532044
"102",14.3,11.84,11.22,267,93.967357031,7.524328
"103",14.27,12.63,12.09,264,91.999329483,7.276512
"104",13.29,12.06,11.46,226,91.572347798,7.325624
"105",16.19,14.71,12.84,215,91.294628901,7.371641
"106",14.48,12,12.63,214,90.576003572,7.205857
"107",11.37,9.91,11.59,190,91.908219486,7.151264
"108",12.14,10.54,9.68,155,91.857859287,7.082745
"109",12.81,11.34,11.03,125,91.588987839,7.098746
"110",12.31,10.58,12.37,117,92.604332768,7.076675
"111",16.66,15.02,14.52,114,92.685146833,6.965987
"112",18.69,16.45,16.04,125,89.959680936,6.595788
"113",16.85,14.75,16.84,136,91.374895304,6.349091
"114",19.33,16.97,17.64,124,91.532684263,6.424409
"115",20.52,19.97,19.07,108,90.648937625,6.269402
"116",22.15,21.08,19.58,111,90.349604803,6.368153
"117",24.54,22.98,22.07,130,88.232600768,6.32421
"118",21.79,21.11,22.83,137,89.886818725,6.326138
"119",24.87,25.2,23.44,145,91.907207945,6.266598
"120",25.76,24.93,24.65,161,87.724136222,6.171375
"121",27.65,27.08,26.99,143,90.843649769,6.047562
"122",30.57,29.01,27.37,147,91.185278985,6.035243
"123",26.86,23.98,26.26,173,89.186426213,5.901075
"124",25.71,23.79,25.89,196,90.086235323,5.614439
"125",29.03,29.64,27.4,199,90.94957645,5.664589
"126",32.44,31.58,28.37,201,89.098300041,5.440257
"127",27.5,25.3,29.36,208,89.429761745,5.587962
"128",33.09,35.08,28.97,206,87.488427315,5.622911
"129",30.87,28.42,30.49,199,87.346647056,5.557698
"130",32.7,30.15,27.15,212,88.957198934,5.615457
"131",33.61,32.53,27.36,234,90.35640671,5.403538
"132",26.72,22.58,26.46,242,87.771840222,5.494614
"133",28.62,26.59,25.83,239,92.056360629,5.607447
"134",27.35,25.16,24.95,237,90.492967517,5.575722
"135",26.37,23.5,24.2,248,88.152212279,5.630558
"136",28.48,27.21,23.51,247,90.786886456,5.615764
"137",28.39,28.55,24,235,89.542974733,5.447333
"138",26.37,26.21,22.23,219,88.238247984,5.297872
"139",26.7,24.35,22.05,219,90.268965564,5.379502
"140",26.65,26.8,22.64,219,85.994184561,5.400864
"141",23.44,21.87,20.11,220,87.589999439,5.392303
"142",21.2,19.63,17.11,198,88.515564239,5.515364
"143",19.46,18.92,16.71,174,88.848609321,5.553415
"144",19.96,19.35,16.64,147,84.073424765,5.404146
"145",19.71,19.07,19.68,141,88.505462438,5.451727
"146",21.78,20.73,21.85,144,85.379847949,5.394599
"147",26.21,25.34,24.1,144,86.74466984,5.52444
"148",27.32,26.98,24.67,136,86.548296251,5.558828
"149",25.37,23.87,24.78,134,85.552474906,5.417568
"150",26.79,25.33,25,138,86.76447648,5.397947
"151",27.02,26.28,26.02,133,86.603108997,5.269312
"152",28.97,27.56,27.04,125,83.84097633,5.376916
"153",30.59,29.11,27.35,122,84.841251168,5.278119
"154",27.18,25.51,25.22,140,85.687809718,5.218583
"155",26.87,25.74,26.32,146,85.496041787,5.239229
"156",31.21,30.12,28.5,137,84.088285943,5.144106
"157",33.51,31.57,31.21,132,85.636025694,5.102691
"158",36.76,34,30.51,153,83.969190533,5.078097
"159",31.14,28.05,28.18,171,86.97647042,4.737689
"160",26.09,23.6,25.82,185,86.155847472,3.973586
"161",29.56,26.58,25.81,167,85.851698282,5.002976
"162",30.15,28.88,28.58,152,86.993435029,5.176795
"163",30.56,28.68,28.2,153,86.103180714,5.13775
"164",31.76,30.38,27.74,153,86.900391849,5.143142
"165",29.19,28.09,26.15,154,87.968244148,5.180109
"166",29.24,27.88,28.5,158,88.015575336,5.189292
"167",30.33,28.95,29.92,158,88.212824811,5.148172
"168",32.51,30.3,30.87,153,87.601862996,5.115037
"169",33.16,29.53,32.42,143,88.794446863,5.110551
"170",36.08,32.94,33.52,153,88.300292861,5.034018
"171",35.75,32.29,33.73,164,88.166838352,5.021935
"172",37.31,35.23,34.49,154,86.887929391,4.902036
"173",39.9,37,35.98,156,86.879854527,4.969682
"174",36.92,33.22,35.96,164,87.231096242,5.037919
"175",43.72,41.47,40.22,170,87.203653753,5.075147
"176",42.23,39.8,42.84,170,85.956432784,5.211217
"177",49.56,47.76,44.85,166,85.308808524,5.180232
"178",51.78,48.16,45.75,171,87.397654948,5.119257
"179",49.16,44.23,41.47,183,87.963266356,5.117898
"180",43.36,40.38,38.39,180,86.275312527,5.107808
"181",48.25,44.51,42.45,178,86.468310671,5.186066
"182",51.75,50.13,44.78,192,87.081714798,5.064209
"183",55.31,53.22,47.3,186,86.385261486,5.108156
"184",49.2,50.61,48.83,171,86.029376613,5.03085
